中央卫视,#genre#
CCTV1,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV2,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV3,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV4,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229474/139134403.smil
CCTV5,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV5+,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229201/52583204.smil
CCTV6,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV7,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV8,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV9,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV10,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV12,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228130/10000100000000060000000002633382_0.smil
CCTV13,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229154/52628615.smil
CCTV14,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228088/10000100000000060000000002633381_0.smil
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV16,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229307/70526246.smil
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8

CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CETV1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CETV2,http://120.76.248.139/live/bfgd/4200000492.m3u8
CGTN,http://120.76.248.139/live/bfgd/4200000134.m3u8

CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420
CCTV2,https://live.chinacert.cftest5.cn/cnmg/live/631780532
CCTV3,https://live.chinacert.cftest5.cn/cnmg/live/624878271
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/631780421
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/608807419
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/608807416
CCTV5,https://live.chinacert.cftest5.cn/cnmg/live/641886683
CCTV5+,https://live.chinacert.cftest5.cn/cnmg/live/641886773
CCTV6,https://live.chinacert.cftest5.cn/cnmg/live/624878396
CCTV7,https://live.chinacert.cftest5.cn/cnmg/live/673168121
CCTV8,https://live.chinacert.cftest5.cn/cnmg/live/624878356
CCTV9,https://live.chinacert.cftest5.cn/cnmg/live/673168140
CCTV10,https://live.chinacert.cftest5.cn/cnmg/live/624878405
CCTV11,https://live.chinacert.cftest5.cn/cnmg/live/667987558
CCTV12,https://live.chinacert.cftest5.cn/cnmg/live/673168185
CCTV13,https://live.chinacert.cftest5.cn/cnmg/live/608807423
CCTV14,https://live.chinacert.cftest5.cn/cnmg/live/624878440
CCTV15,https://live.chinacert.cftest5.cn/cnmg/live/673168223
CCTV16,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229307/70526246.smil
CCTV17,https://live.chinacert.cftest5.cn/cnmg/live/673168256
CGTN,https://live.chinacert.cftest5.cn/cnmg/live/609017205
CGTN,https://live.chinacert.cftest5.cn/cnmg/live/609006487
CGTN,https://live.chinacert.cftest5.cn/cnmg/live/609154345
CGTN,https://live.chinacert.cftest5.cn/cnmg/live/609006450
CGTN,https://live.chinacert.cftest5.cn/cnmg/live/609006476
CGTN,https://live.chinacert.cftest5.cn/cnmg/live/609006446

CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o
