CCTV1,rtp://233.50.201.118:5140
CCTV2,rtp://233.50.201.119:5140
CCTV3,rtp://233.50.201.196:5140
CCTV4,rtp://233.50.200.101:5140
CCTV5,rtp://233.50.201.197:5140
CCTV5+,rtp://233.50.201.220:5140
CCTV6,rtp://233.50.201.198:5140
CCTV7,rtp://233.50.201.120:5140
CCTV8,rtp://233.50.201.199:5140
CCTV12,rtp://233.50.201.123:5140
CCTV13,rtp://233.50.201.246:5140
CCTV14,rtp://233.50.201.124:5140
CCTV15,rtp://233.50.202.40:5140
CCTV16,rtp://233.50.200.112:5140
CCTV17,rtp://233.50.200.113:5140
浙江钱江,rtp://233.50.201.132:5140
浙江生活,rtp://233.50.201.133:5140
浙江教育,rtp://233.50.201.134:5140
浙江民生,rtp://233.50.201.136:5140
浙江新闻,rtp://233.50.201.137:5140
浙江少儿,rtp://233.50.201.138:5140
浙江纪录,rtp://233.50.202.25:5140
杭州综合,rtp://233.50.201.173:5140
杭州明珠,rtp://233.50.201.174:5140
杭州生活,rtp://233.50.201.175:5140
杭州影视,rtp://233.50.201.176:5140
杭州青少,rtp://233.50.201.177:5140
杭州导视,rtp://233.50.201.182:5140
宁波综合,rtp://233.50.201.168:5140
宁波生活,rtp://233.50.201.178:5140
宁波文体,rtp://233.50.201.179:5140
宁波影视,rtp://233.50.201.180:5140
宁波少儿,rtp://233.50.201.181:5140
温州综合,rtp://233.50.201.87:5140
绍兴综合,rtp://233.50.201.156:5140
衢州综合,rtp://233.50.202.11:5140
衢州公共,rtp://233.50.202.12:5140
丽水新闻,rtp://233.50.201.162:5140
中国蓝直播,rtp://233.50.201.108:5140

凤凰中文,rtp://233.50.200.191:5140
凤凰资讯,rtp://233.50.200.192:5140
浙江卫视,rtp://233.50.200.231:5140
天津卫视,rtp://233.50.201.104:5140
河北卫视,rtp://233.50.201.140:5140
安徽卫视,rtp://233.50.201.113:5140
重庆卫视,rtp://233.50.201.143:5140
云南卫视,rtp://233.50.200.115:5140
四川卫视,rtp://233.50.201.139:5140
江西卫视,rtp://233.50.201.145:5140
江苏卫视,rtp://233.50.201.106:5140
东方卫视,rtp://233.50.201.125:5140
湖北卫视,rtp://233.50.201.114:5140
广东卫视,rtp://233.50.200.187:5140
北京卫视,rtp://233.50.201.107:5140
深圳卫视,rtp://233.50.201.101:5140
黑龙江卫视,rtp://233.50.201.115:5140
湖南卫视,rtp://233.50.201.103:5140
山东卫视,rtp://233.50.201.105:5140
辽宁卫视,rtp://233.50.201.141:5140
贵州卫视,rtp://233.50.201.142:5140
河南卫视,rtp://233.50.201.144:5140
东南卫视,rtp://233.50.201.146:5140
都市剧场,rtp://233.50.201.190:5140
欢笑剧场,rtp://233.50.201.189:5140
动漫秀场,rtp://233.50.201.184:5140
游戏风云,rtp://233.50.201.183:5140
生活时尚,rtp://233.50.201.187:5140
法治天地,rtp://233.50.201.191:5140
金色学堂,rtp://233.50.201.186:5140
快乐垂钓,rtp://233.50.201.109:5140
茶频道台,rtp://233.50.201.188:5140
第一财经,rtp://233.50.200.125:5140



