中国电信-浙江-酒店,#genre#
CCTV1,http://115.236.171.2:9901/tsfile/live/0001_1.m3u8
CCTV2,http://115.236.171.2:9901/tsfile/live/0002_1.m3u8
CCTV3,http://115.236.171.2:9901/tsfile/live/0003_1.m3u8
CCTV4,http://115.236.171.2:9901/tsfile/live/0004_1.m3u8
CCTV5,http://115.236.171.2:9901/tsfile/live/0005_1.m3u8
CCTV6,http://115.236.171.2:9901/tsfile/live/0006_1.m3u8
CCTV7,http://115.236.171.2:9901/tsfile/live/0007_1.m3u8
CCTV8,http://115.236.171.2:9901/tsfile/live/0008_1.m3u8
CCTV9,http://115.236.171.2:9901/tsfile/live/0009_1.m3u8
CCTV10,http://115.236.171.2:9901/tsfile/live/0010_1.m3u8
CCTV11,http://115.236.171.2:9901/tsfile/live/0011_1.m3u8
CCTV12,http://115.236.171.2:9901/tsfile/live/0012_1.m3u8
CCTV13,http://115.236.171.2:9901/tsfile/live/0013_1.m3u8
CCTV14,http://115.236.171.2:9901/tsfile/live/0014_1.m3u8
CCTV15,http://115.236.171.2:9901/tsfile/live/0015_1.m3u8
CCTV16奥运,http://115.236.171.2:9901/tsfile/live/0016_1.m3u8
CCTV5+,http://115.236.171.2:9901/tsfile/live/0017_1.m3u8
浙江卫视,http://115.236.171.2:9901/tsfile/live/0124_1.m3u8
钱江,http://115.236.171.2:9901/tsfile/live/1006_1.m3u8
浙江新闻,http://115.236.171.2:9901/tsfile/live/1007_1.m3u8
教科影视,http://115.236.171.2:9901/tsfile/live/1008_1.m3u8
上海卫视,http://115.236.171.2:9901/tsfile/live/1009_1.m3u8
湖南卫视,http://115.236.171.2:9901/tsfile/live/1010_1.m3u8
安徽卫视,http://115.236.171.2:9901/tsfile/live/1011_1.m3u8
江苏卫视,http://115.236.171.2:9901/tsfile/live/1012_1.m3u8
北京卫视,http://115.236.171.2:9901/tsfile/live/1013_1.m3u8
重庆卫视,http://115.236.171.2:9901/tsfile/live/1014_1.m3u8
贵州卫视,http://115.236.171.2:9901/tsfile/live/1015_1.m3u8
四川卫视,http://115.236.171.2:9901/tsfile/live/1016_1.m3u8
广东卫视,http://115.236.171.2:9901/tsfile/live/1017_1.m3u8
天津卫视,http://115.236.171.2:9901/tsfile/live/1018_1.m3u8
云南卫视,http://115.236.171.2:9901/tsfile/live/1019_1.m3u8
河北卫视,http://115.236.171.2:9901/tsfile/live/1020_1.m3u8
黑龙江,http://115.236.171.2:9901/tsfile/live/1021_1.m3u8
海南卫视,http://115.236.171.2:9901/tsfile/live/1022_1.m3u8
山东卫视,http://115.236.171.2:9901/tsfile/live/1023_1.m3u8
东南卫视,http://115.236.171.2:9901/tsfile/live/1024_1.m3u8
湖北卫视,http://115.236.171.2:9901/tsfile/live/1025_1.m3u8
辽宁卫视,http://115.236.171.2:9901/tsfile/live/1026_1.m3u8
江西卫视,http://115.236.171.2:9901/tsfile/live/1027_1.m3u8
青海卫视,http://115.236.171.2:9901/tsfile/live/1028_1.m3u8
西藏卫视,http://115.236.171.2:9901/tsfile/live/1029_1.m3u8
陕西卫视,http://115.236.171.2:9901/tsfile/live/1030_1.m3u8
兵团卫视,http://115.236.171.2:9901/tsfile/live/1031_1.m3u8
山西卫视,http://115.236.171.2:9901/tsfile/live/1032_1.m3u8
宁夏卫视,http://115.236.171.2:9901/tsfile/live/1033_1.m3u8
河南卫视,http://115.236.171.2:9901/tsfile/live/1034_1.m3u8
卡酷少儿,http://115.236.171.2:9901/tsfile/live/1035_1.m3u8
