
更新时间,#genre#
2024-12-18 18:36:23,url
央视频道,#genre#
CCTV1,http://111.196.135.75:8686/rtp/239.3.1.129:8008$组播源
CCTV1,http://221.223.21.112:58888/rtp/239.3.1.129:8008$组播源
CCTV1,http://221.222.162.206:8888/rtp/239.3.1.129:8008$组播源
CCTV1,http://221.223.21.8:58888/rtp/239.3.1.129:8008$组播源
CCTV1,http://49.69.201.229:10001/rtp/239.49.8.19:9614$组播源
CCTV1,http://119.98.133.74:4022/rtp/239.254.96.96:8550$组播源
CCTV1,http://222.241.236.5:9999/rtp/239.76.253.151:9000$组播源
CCTV1,http://183.133.104.164:8899/rtp/233.50.201.118:5140$组播源
CCTV1,http://113.119.11.155:10000/rtp/239.77.0.129:5146$组播源
CCTV1,http://113.119.11.155:10000/rtp/239.77.0.86:5146$组播源
CCTV1,http://fb.chucklee.top:10026/ysptp/cctv1.m3u8$订阅源
CCTV1,http://fb.chucklee.top:10026/itv/6000000001000029752.m3u8?cdn=wasusyt$订阅源
CCTV1,http://fb.chucklee.top:10026/itv/5000000004000002226.m3u8?cdn=bestzb$订阅源
CCTV1,http://fb.chucklee.top:10026/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源
CCTV1,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$订阅源
CCTV1,http://223.167.75.197:10030/itv/6000000001000029752.m3u8?cdn=wasusyt$订阅源
CCTV1,http://223.167.75.197:10030/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源
CCTV1,http://223.167.75.197:10030/ysptp/cctv1.m3u8$订阅源
CCTV1,http://223.167.75.197:10030/itv/5000000004000002226.m3u8?cdn=bestzb$订阅源
CCTV1,http://182.113.0.76:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV2,http://111.196.135.75:8686/rtp/239.3.1.60:8084$组播源
CCTV2,http://221.223.21.112:58888/rtp/239.3.1.60:8084$组播源
CCTV2,http://221.222.162.206:8888/rtp/239.3.1.60:8084$组播源
CCTV2,http://221.223.21.8:58888/rtp/239.3.1.60:8084$组播源
CCTV2,http://49.69.201.229:10001/rtp/239.49.8.50:9802$组播源
CCTV2,http://119.98.133.74:4022/rtp/239.69.1.102:10250$组播源
