CCTV1,rtp://239.49.8.19:9614$江苏新cmc
CCTV2,rtp://239.49.8.50:9802$江苏新cmc
CCTV3,rtp://239.49.8.74:8000$江苏新cmc
CCTV4,rtp://239.49.8.51:9806$江苏新cmc
CCTV5,rtp://239.49.8.75:8000$江苏新cmc
CCTV6,rtp://239.49.8.76:8000$江苏新cmc
CCTV7,rtp://239.49.0.126:8000$江苏新cmc
CCTV8,rtp://239.49.8.77:8000$江苏新cmc
CCTV9,rtp://239.49.8.53:9814$江苏新cmc
CCTV10,rtp://239.49.8.54:9818$江苏新cmc
CCTV11,rtp://239.49.0.127:8000$江苏新cmc
CCTV12,rtp://239.49.8.55:9822$江苏新cmc
CCTV13,rtp://239.49.8.109:8000$江苏新cmc
CCTV14,rtp://239.49.8.56:9826$江苏新cmc
CCTV15,rtp://239.49.0.128:8000$江苏新cmc
安徽卫视,rtp://239.49.8.80:8000$江苏新cmc
北京卫视,rtp://239.49.8.11:9414$江苏新cmc
东方卫视,rtp://239.49.8.17:9606$江苏新cmc
东南卫视,rtp://239.49.8.112:8000$江苏新cmc
广东卫视,rtp://239.49.8.13:9422$江苏新cmc
广西卫视,rtp://239.49.8.10:8000$江苏新cmc
贵州卫视,rtp://239.49.8.49:8000$江苏新cmc
海南卫视,rtp://239.49.8.83:8000$江苏新cmc
河北卫视,rtp://239.49.8.114:8000$江苏新cmc
河南卫视,rtp://239.49.8.29:8000$江苏新cmc
黑龙江卫视,rtp://239.49.8.14:9426$江苏新cmc
湖北卫视,rtp://239.49.8.8:9632$江苏新cmc
湖南卫视,rtp://239.49.8.12:9418$江苏新cmc
吉林卫视,rtp://239.49.8.113:8000$江苏新cmc
江苏卫视,rtp://239.49.8.16:9602$江苏新cmc
江西卫视,rtp://239.49.8.111:8000$江苏新cmc
辽宁卫视,rtp://239.49.8.48:8000$江苏新cmc
三沙卫视,rtp://239.49.0.167:8000$江苏新cmc
山东卫视,rtp://239.49.8.7:9306$江苏新cmc
深圳卫视,rtp://239.49.8.15:9430$江苏新cmc
四川卫视,rtp://239.49.8.110:8000$江苏新cmc
天津卫视,rtp://239.49.8.35:8620$江苏新cmc
云南卫视,rtp://239.49.0.177:8000$江苏新cmc
浙江卫视,rtp://239.49.8.20:9618$江苏新cmc
重庆卫视,rtp://239.49.8.57:9830$江苏新cmc
青海卫视,rtp://239.49.1.31:6000$江苏新cmc
宁夏卫视,rtp://239.49.1.237:6000$江苏新cmc
甘肃卫视,rtp://239.49.1.238:6000$江苏新cmc
新疆卫视,rtp://239.49.1.239:6000$江苏新cmc
内蒙古卫视,rtp://239.49.1.240:6000$江苏新cmc

